Passenger,Class,Sex,Age Group,Survived,Port,Fare Band
1,3rd Class,Male,Young Adult,Died,Southampton,Budget
2,1st Class,Female,Adult,Survived,Cherbourg,Premium
3,3rd Class,Female,Adult,Survived,Southampton,Budget
4,1st Class,Female,Adult,Survived,Southampton,Premium
5,3rd Class,Male,Adult,Died,Southampton,Budget
6,3rd Class,Male,Unknown,Died,Queenstown,Budget
7,1st Class,Male,Middle Aged,Died,Southampton,Premium
8,3rd Class,Male,Child,Died,Southampton,Standard
9,3rd Class,Female,Adult,Survived,Southampton,Standard
10,2nd Class,Female,Young Adult,Survived,Cherbourg,Premium
11,3rd Class,Female,Child,Survived,Southampton,Standard
12,1st Class,Female,Middle Aged,Survived,Southampton,Standard
13,3rd Class,Male,Young Adult,Died,Southampton,Budget
14,3rd Class,Male,Adult,Died,Southampton,Premium
15,3rd Class,Female,Young Adult,Died,Southampton,Budget
16,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
17,3rd Class,Male,Child,Died,Queenstown,Standard
18,2nd Class,Male,Unknown,Survived,Southampton,Standard
19,3rd Class,Female,Adult,Died,Southampton,Standard
20,3rd Class,Female,Unknown,Survived,Cherbourg,Budget
21,2nd Class,Male,Adult,Died,Southampton,Standard
22,2nd Class,Male,Adult,Survived,Southampton,Standard
23,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
24,1st Class,Male,Adult,Survived,Southampton,Premium
25,3rd Class,Female,Child,Died,Southampton,Standard
26,3rd Class,Female,Adult,Survived,Southampton,Premium
27,3rd Class,Male,Unknown,Died,Cherbourg,Budget
28,1st Class,Male,Young Adult,Died,Southampton,Luxury
29,3rd Class,Female,Unknown,Survived,Queenstown,Budget
30,3rd Class,Male,Unknown,Died,Southampton,Budget
31,1st Class,Male,Middle Aged,Died,Cherbourg,Standard
32,1st Class,Female,Unknown,Survived,Cherbourg,Luxury
33,3rd Class,Female,Unknown,Survived,Queenstown,Budget
34,2nd Class,Male,Senior,Died,Southampton,Standard
35,1st Class,Male,Adult,Died,Cherbourg,Luxury
36,1st Class,Male,Middle Aged,Died,Southampton,Premium
37,3rd Class,Male,Unknown,Survived,Cherbourg,Budget
38,3rd Class,Male,Young Adult,Died,Southampton,Budget
39,3rd Class,Female,Young Adult,Died,Southampton,Standard
40,3rd Class,Female,Young Adult,Survived,Cherbourg,Standard
41,3rd Class,Female,Middle Aged,Died,Southampton,Budget
42,2nd Class,Female,Adult,Died,Southampton,Standard
43,3rd Class,Male,Unknown,Died,Cherbourg,Budget
44,2nd Class,Female,Child,Survived,Cherbourg,Premium
45,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
46,3rd Class,Male,Unknown,Died,Southampton,Budget
47,3rd Class,Male,Unknown,Died,Queenstown,Standard
48,3rd Class,Female,Unknown,Survived,Queenstown,Budget
49,3rd Class,Male,Unknown,Died,Cherbourg,Standard
50,3rd Class,Female,Young Adult,Died,Southampton,Standard
51,3rd Class,Male,Child,Died,Southampton,Premium
52,3rd Class,Male,Young Adult,Died,Southampton,Budget
53,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
54,2nd Class,Female,Adult,Survived,Southampton,Standard
55,1st Class,Male,Senior,Died,Cherbourg,Premium
56,1st Class,Male,Unknown,Survived,Southampton,Premium
57,2nd Class,Female,Young Adult,Survived,Southampton,Standard
58,3rd Class,Male,Adult,Died,Cherbourg,Budget
59,2nd Class,Female,Child,Survived,Southampton,Standard
60,3rd Class,Male,Child,Died,Southampton,Premium
61,3rd Class,Male,Young Adult,Died,Cherbourg,Budget
62,1st Class,Female,Adult,Survived,Unknown,Luxury
63,1st Class,Male,Middle Aged,Died,Southampton,Luxury
64,3rd Class,Male,Child,Died,Southampton,Standard
65,1st Class,Male,Unknown,Died,Cherbourg,Standard
66,3rd Class,Male,Unknown,Survived,Cherbourg,Standard
67,2nd Class,Female,Adult,Survived,Southampton,Standard
68,3rd Class,Male,Young Adult,Died,Southampton,Budget
69,3rd Class,Female,Young Adult,Survived,Southampton,Budget
70,3rd Class,Male,Adult,Died,Southampton,Budget
71,2nd Class,Male,Adult,Died,Southampton,Standard
72,3rd Class,Female,Young Adult,Died,Southampton,Premium
73,2nd Class,Male,Young Adult,Died,Southampton,Premium
74,3rd Class,Male,Adult,Died,Cherbourg,Standard
75,3rd Class,Male,Adult,Survived,Southampton,Premium
76,3rd Class,Male,Adult,Died,Southampton,Budget
77,3rd Class,Male,Unknown,Died,Southampton,Budget
78,3rd Class,Male,Unknown,Died,Southampton,Budget
79,2nd Class,Male,Child,Survived,Southampton,Standard
80,3rd Class,Female,Adult,Survived,Southampton,Standard
81,3rd Class,Male,Young Adult,Died,Southampton,Budget
82,3rd Class,Male,Adult,Survived,Southampton,Budget
83,3rd Class,Female,Unknown,Survived,Queenstown,Budget
84,1st Class,Male,Adult,Died,Southampton,Premium
85,2nd Class,Female,Young Adult,Survived,Southampton,Standard
86,3rd Class,Female,Adult,Survived,Southampton,Standard
87,3rd Class,Male,Young Adult,Died,Southampton,Premium
88,3rd Class,Male,Unknown,Died,Southampton,Budget
89,1st Class,Female,Young Adult,Survived,Southampton,Luxury
90,3rd Class,Male,Young Adult,Died,Southampton,Budget
91,3rd Class,Male,Adult,Died,Southampton,Budget
92,3rd Class,Male,Young Adult,Died,Southampton,Budget
93,1st Class,Male,Middle Aged,Died,Southampton,Premium
94,3rd Class,Male,Adult,Died,Southampton,Standard
95,3rd Class,Male,Middle Aged,Died,Southampton,Budget
96,3rd Class,Male,Unknown,Died,Southampton,Budget
97,1st Class,Male,Senior,Died,Cherbourg,Premium
98,1st Class,Male,Young Adult,Survived,Cherbourg,Premium
99,2nd Class,Female,Adult,Survived,Southampton,Standard
100,2nd Class,Male,Adult,Died,Southampton,Standard
101,3rd Class,Female,Adult,Died,Southampton,Budget
102,3rd Class,Male,Unknown,Died,Southampton,Budget
103,1st Class,Male,Young Adult,Died,Southampton,Premium
104,3rd Class,Male,Adult,Died,Southampton,Budget
105,3rd Class,Male,Adult,Died,Southampton,Budget
106,3rd Class,Male,Adult,Died,Southampton,Budget
107,3rd Class,Female,Young Adult,Survived,Southampton,Budget
108,3rd Class,Male,Unknown,Survived,Southampton,Budget
109,3rd Class,Male,Adult,Died,Southampton,Budget
110,3rd Class,Female,Unknown,Survived,Queenstown,Standard
111,1st Class,Male,Middle Aged,Died,Southampton,Premium
112,3rd Class,Female,Young Adult,Died,Cherbourg,Standard
113,3rd Class,Male,Young Adult,Died,Southampton,Budget
114,3rd Class,Female,Young Adult,Died,Southampton,Budget
115,3rd Class,Female,Young Adult,Died,Cherbourg,Standard
116,3rd Class,Male,Young Adult,Died,Southampton,Budget
117,3rd Class,Male,Senior,Died,Queenstown,Budget
118,2nd Class,Male,Adult,Died,Southampton,Standard
119,1st Class,Male,Young Adult,Died,Cherbourg,Luxury
120,3rd Class,Female,Child,Died,Southampton,Premium
121,2nd Class,Male,Young Adult,Died,Southampton,Premium
122,3rd Class,Male,Unknown,Died,Southampton,Budget
123,2nd Class,Male,Adult,Died,Cherbourg,Premium
124,2nd Class,Female,Adult,Survived,Southampton,Standard
125,1st Class,Male,Middle Aged,Died,Southampton,Premium
126,3rd Class,Male,Child,Survived,Cherbourg,Standard
127,3rd Class,Male,Unknown,Died,Queenstown,Budget
128,3rd Class,Male,Young Adult,Survived,Southampton,Budget
129,3rd Class,Female,Unknown,Survived,Cherbourg,Standard
130,3rd Class,Male,Middle Aged,Died,Southampton,Budget
131,3rd Class,Male,Adult,Died,Cherbourg,Budget
132,3rd Class,Male,Young Adult,Died,Southampton,Budget
133,3rd Class,Female,Middle Aged,Died,Southampton,Standard
134,2nd Class,Female,Adult,Survived,Southampton,Standard
135,2nd Class,Male,Adult,Died,Southampton,Standard
136,2nd Class,Male,Young Adult,Died,Cherbourg,Standard
137,1st Class,Female,Young Adult,Survived,Southampton,Standard
138,1st Class,Male,Adult,Died,Southampton,Premium
139,3rd Class,Male,Young Adult,Died,Southampton,Budget
140,1st Class,Male,Young Adult,Died,Cherbourg,Premium
141,3rd Class,Female,Unknown,Died,Cherbourg,Standard
142,3rd Class,Female,Young Adult,Survived,Southampton,Budget
143,3rd Class,Female,Young Adult,Survived,Southampton,Standard
144,3rd Class,Male,Young Adult,Died,Queenstown,Budget
145,2nd Class,Male,Young Adult,Died,Southampton,Standard
146,2nd Class,Male,Young Adult,Died,Southampton,Premium
147,3rd Class,Male,Adult,Survived,Southampton,Budget
148,3rd Class,Female,Child,Died,Southampton,Premium
149,2nd Class,Male,Adult,Died,Southampton,Standard
150,2nd Class,Male,Middle Aged,Died,Southampton,Standard
151,2nd Class,Male,Middle Aged,Died,Southampton,Standard
152,1st Class,Female,Young Adult,Survived,Southampton,Premium
153,3rd Class,Male,Middle Aged,Died,Southampton,Budget
154,3rd Class,Male,Middle Aged,Died,Southampton,Standard
155,3rd Class,Male,Unknown,Died,Southampton,Budget
156,1st Class,Male,Middle Aged,Died,Cherbourg,Premium
157,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
158,3rd Class,Male,Adult,Died,Southampton,Budget
159,3rd Class,Male,Unknown,Died,Southampton,Budget
160,3rd Class,Male,Unknown,Died,Southampton,Premium
161,3rd Class,Male,Middle Aged,Died,Southampton,Standard
162,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
163,3rd Class,Male,Adult,Died,Southampton,Budget
164,3rd Class,Male,Young Adult,Died,Southampton,Budget
165,3rd Class,Male,Child,Died,Southampton,Premium
166,3rd Class,Male,Child,Survived,Southampton,Standard
167,1st Class,Female,Unknown,Survived,Southampton,Premium
168,3rd Class,Female,Middle Aged,Died,Southampton,Standard
169,1st Class,Male,Unknown,Died,Southampton,Standard
170,3rd Class,Male,Adult,Died,Southampton,Premium
171,1st Class,Male,Senior,Died,Southampton,Premium
172,3rd Class,Male,Child,Died,Queenstown,Standard
173,3rd Class,Female,Child,Survived,Southampton,Standard
174,3rd Class,Male,Young Adult,Died,Southampton,Budget
175,1st Class,Male,Middle Aged,Died,Cherbourg,Premium
176,3rd Class,Male,Young Adult,Died,Southampton,Budget
177,3rd Class,Male,Unknown,Died,Southampton,Standard
178,1st Class,Female,Middle Aged,Died,Cherbourg,Standard
179,2nd Class,Male,Adult,Died,Southampton,Standard
180,3rd Class,Male,Adult,Died,Southampton,Budget
181,3rd Class,Female,Unknown,Died,Southampton,Premium
182,2nd Class,Male,Unknown,Died,Cherbourg,Standard
183,3rd Class,Male,Child,Died,Southampton,Premium
184,2nd Class,Male,Child,Survived,Southampton,Premium
185,3rd Class,Female,Child,Survived,Southampton,Standard
186,1st Class,Male,Unknown,Died,Southampton,Premium
187,3rd Class,Female,Unknown,Survived,Queenstown,Standard
188,1st Class,Male,Middle Aged,Survived,Southampton,Standard
189,3rd Class,Male,Middle Aged,Died,Queenstown,Standard
190,3rd Class,Male,Adult,Died,Southampton,Budget
191,2nd Class,Female,Adult,Survived,Southampton,Standard
192,2nd Class,Male,Young Adult,Died,Southampton,Standard
193,3rd Class,Female,Young Adult,Survived,Southampton,Budget
194,2nd Class,Male,Child,Survived,Southampton,Standard
195,1st Class,Female,Middle Aged,Survived,Cherbourg,Standard
196,1st Class,Female,Middle Aged,Survived,Cherbourg,Luxury
197,3rd Class,Male,Unknown,Died,Queenstown,Budget
198,3rd Class,Male,Middle Aged,Died,Southampton,Budget
199,3rd Class,Female,Unknown,Survived,Queenstown,Budget
200,2nd Class,Female,Young Adult,Died,Southampton,Standard
201,3rd Class,Male,Adult,Died,Southampton,Budget
202,3rd Class,Male,Unknown,Died,Southampton,Premium
203,3rd Class,Male,Adult,Died,Southampton,Budget
204,3rd Class,Male,Middle Aged,Died,Cherbourg,Budget
205,3rd Class,Male,Young Adult,Survived,Southampton,Budget
206,3rd Class,Female,Child,Died,Southampton,Standard
207,3rd Class,Male,Adult,Died,Southampton,Standard
208,3rd Class,Male,Adult,Survived,Cherbourg,Standard
209,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
210,1st Class,Male,Middle Aged,Survived,Cherbourg,Premium
211,3rd Class,Male,Young Adult,Died,Southampton,Budget
212,2nd Class,Female,Adult,Survived,Southampton,Standard
213,3rd Class,Male,Young Adult,Died,Southampton,Budget
214,2nd Class,Male,Adult,Died,Southampton,Standard
215,3rd Class,Male,Unknown,Died,Queenstown,Budget
216,1st Class,Female,Adult,Survived,Cherbourg,Luxury
217,3rd Class,Female,Adult,Survived,Southampton,Budget
218,2nd Class,Male,Middle Aged,Died,Southampton,Standard
219,1st Class,Female,Adult,Survived,Cherbourg,Premium
220,2nd Class,Male,Adult,Died,Southampton,Standard
221,3rd Class,Male,Young Adult,Survived,Southampton,Budget
222,2nd Class,Male,Adult,Died,Southampton,Standard
223,3rd Class,Male,Middle Aged,Died,Southampton,Budget
224,3rd Class,Male,Unknown,Died,Southampton,Budget
225,1st Class,Male,Adult,Survived,Southampton,Luxury
226,3rd Class,Male,Young Adult,Died,Southampton,Budget
227,2nd Class,Male,Young Adult,Survived,Southampton,Standard
228,3rd Class,Male,Young Adult,Died,Southampton,Budget
229,2nd Class,Male,Young Adult,Died,Southampton,Standard
230,3rd Class,Female,Unknown,Died,Southampton,Standard
231,1st Class,Female,Adult,Survived,Southampton,Luxury
232,3rd Class,Male,Adult,Died,Southampton,Budget
233,2nd Class,Male,Middle Aged,Died,Southampton,Standard
234,3rd Class,Female,Child,Survived,Southampton,Premium
235,2nd Class,Male,Young Adult,Died,Southampton,Standard
236,3rd Class,Female,Unknown,Died,Southampton,Budget
237,2nd Class,Male,Middle Aged,Died,Southampton,Standard
238,2nd Class,Female,Child,Survived,Southampton,Standard
239,2nd Class,Male,Young Adult,Died,Southampton,Standard
240,2nd Class,Male,Adult,Died,Southampton,Standard
241,3rd Class,Female,Unknown,Died,Cherbourg,Standard
242,3rd Class,Female,Unknown,Survived,Queenstown,Standard
243,2nd Class,Male,Adult,Died,Southampton,Standard
244,3rd Class,Male,Young Adult,Died,Southampton,Budget
245,3rd Class,Male,Adult,Died,Cherbourg,Budget
246,1st Class,Male,Middle Aged,Died,Queenstown,Luxury
247,3rd Class,Female,Adult,Died,Southampton,Budget
248,2nd Class,Female,Young Adult,Survived,Southampton,Standard
249,1st Class,Male,Adult,Survived,Southampton,Premium
250,2nd Class,Male,Middle Aged,Died,Southampton,Standard
251,3rd Class,Male,Unknown,Died,Southampton,Budget
252,3rd Class,Female,Adult,Died,Southampton,Standard
253,1st Class,Male,Senior,Died,Southampton,Standard
254,3rd Class,Male,Adult,Died,Southampton,Standard
255,3rd Class,Female,Middle Aged,Died,Southampton,Standard
256,3rd Class,Female,Adult,Survived,Cherbourg,Standard
257,1st Class,Female,Unknown,Survived,Cherbourg,Premium
258,1st Class,Female,Adult,Survived,Southampton,Luxury
259,1st Class,Female,Adult,Survived,Cherbourg,Luxury
260,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
261,3rd Class,Male,Unknown,Died,Queenstown,Budget
262,3rd Class,Male,Child,Survived,Southampton,Premium
263,1st Class,Male,Middle Aged,Died,Southampton,Premium
264,1st Class,Male,Middle Aged,Died,Southampton,Budget
265,3rd Class,Female,Unknown,Died,Queenstown,Budget
266,2nd Class,Male,Adult,Died,Southampton,Standard
267,3rd Class,Male,Young Adult,Died,Southampton,Premium
268,3rd Class,Male,Adult,Survived,Southampton,Budget
269,1st Class,Female,Middle Aged,Survived,Southampton,Luxury
270,1st Class,Female,Adult,Survived,Southampton,Luxury
271,1st Class,Male,Unknown,Died,Southampton,Premium
272,3rd Class,Male,Adult,Survived,Southampton,Budget
273,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
274,1st Class,Male,Adult,Died,Cherbourg,Standard
275,3rd Class,Female,Unknown,Survived,Queenstown,Budget
276,1st Class,Female,Senior,Survived,Southampton,Premium
277,3rd Class,Female,Middle Aged,Died,Southampton,Budget
278,2nd Class,Male,Unknown,Died,Southampton,Budget
279,3rd Class,Male,Child,Died,Queenstown,Standard
280,3rd Class,Female,Adult,Survived,Southampton,Standard
281,3rd Class,Male,Senior,Died,Queenstown,Budget
282,3rd Class,Male,Adult,Died,Southampton,Budget
283,3rd Class,Male,Young Adult,Died,Southampton,Budget
284,3rd Class,Male,Young Adult,Survived,Southampton,Budget
285,1st Class,Male,Unknown,Died,Southampton,Standard
286,3rd Class,Male,Adult,Died,Cherbourg,Budget
287,3rd Class,Male,Adult,Survived,Southampton,Budget
288,3rd Class,Male,Young Adult,Died,Southampton,Budget
289,2nd Class,Male,Middle Aged,Survived,Southampton,Standard
290,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
291,1st Class,Female,Adult,Survived,Southampton,Premium
292,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
293,2nd Class,Male,Adult,Died,Cherbourg,Standard
294,3rd Class,Female,Young Adult,Died,Southampton,Budget
295,3rd Class,Male,Young Adult,Died,Southampton,Budget
296,1st Class,Male,Unknown,Died,Cherbourg,Standard
297,3rd Class,Male,Young Adult,Died,Cherbourg,Budget
298,1st Class,Female,Child,Died,Southampton,Luxury
299,1st Class,Male,Unknown,Survived,Southampton,Premium
300,1st Class,Female,Middle Aged,Survived,Cherbourg,Luxury
301,3rd Class,Female,Unknown,Survived,Queenstown,Budget
302,3rd Class,Male,Unknown,Survived,Queenstown,Standard
303,3rd Class,Male,Young Adult,Died,Southampton,Budget
304,2nd Class,Female,Unknown,Survived,Queenstown,Standard
305,3rd Class,Male,Unknown,Died,Southampton,Budget
306,1st Class,Male,Child,Survived,Southampton,Luxury
307,1st Class,Female,Unknown,Survived,Cherbourg,Luxury
308,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
309,2nd Class,Male,Adult,Died,Cherbourg,Standard
310,1st Class,Female,Adult,Survived,Cherbourg,Premium
311,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
312,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
313,2nd Class,Female,Adult,Died,Southampton,Standard
314,3rd Class,Male,Adult,Died,Southampton,Budget
315,2nd Class,Male,Middle Aged,Died,Southampton,Standard
316,3rd Class,Female,Adult,Survived,Southampton,Budget
317,2nd Class,Female,Young Adult,Survived,Southampton,Standard
318,2nd Class,Male,Middle Aged,Died,Southampton,Standard
319,1st Class,Female,Adult,Survived,Southampton,Luxury
320,1st Class,Female,Middle Aged,Survived,Cherbourg,Luxury
321,3rd Class,Male,Young Adult,Died,Southampton,Budget
322,3rd Class,Male,Adult,Died,Southampton,Budget
323,2nd Class,Female,Adult,Survived,Queenstown,Standard
324,2nd Class,Female,Young Adult,Survived,Southampton,Standard
325,3rd Class,Male,Unknown,Died,Southampton,Premium
326,1st Class,Female,Adult,Survived,Cherbourg,Luxury
327,3rd Class,Male,Senior,Died,Southampton,Budget
328,2nd Class,Female,Adult,Survived,Southampton,Standard
329,3rd Class,Female,Adult,Survived,Southampton,Standard
330,1st Class,Female,Young Adult,Survived,Cherbourg,Premium
331,3rd Class,Female,Unknown,Survived,Queenstown,Standard
332,1st Class,Male,Middle Aged,Died,Southampton,Standard
333,1st Class,Male,Adult,Died,Southampton,Luxury
334,3rd Class,Male,Young Adult,Died,Southampton,Standard
335,1st Class,Female,Unknown,Survived,Southampton,Luxury
336,3rd Class,Male,Unknown,Died,Southampton,Budget
337,1st Class,Male,Adult,Died,Southampton,Premium
338,1st Class,Female,Middle Aged,Survived,Cherbourg,Luxury
339,3rd Class,Male,Middle Aged,Survived,Southampton,Budget
340,1st Class,Male,Middle Aged,Died,Southampton,Premium
341,2nd Class,Male,Child,Survived,Southampton,Standard
342,1st Class,Female,Young Adult,Survived,Southampton,Luxury
343,2nd Class,Male,Adult,Died,Southampton,Standard
344,2nd Class,Male,Adult,Died,Southampton,Standard
345,2nd Class,Male,Adult,Died,Southampton,Standard
346,2nd Class,Female,Young Adult,Survived,Southampton,Standard
347,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
348,3rd Class,Female,Unknown,Survived,Southampton,Standard
349,3rd Class,Male,Child,Survived,Southampton,Standard
350,3rd Class,Male,Middle Aged,Died,Southampton,Budget
351,3rd Class,Male,Young Adult,Died,Southampton,Budget
352,1st Class,Male,Unknown,Died,Southampton,Premium
353,3rd Class,Male,Young Adult,Died,Cherbourg,Budget
354,3rd Class,Male,Adult,Died,Southampton,Standard
355,3rd Class,Male,Unknown,Died,Cherbourg,Budget
356,3rd Class,Male,Adult,Died,Southampton,Budget
357,1st Class,Female,Young Adult,Survived,Southampton,Premium
358,2nd Class,Female,Adult,Died,Southampton,Standard
359,3rd Class,Female,Unknown,Survived,Queenstown,Budget
360,3rd Class,Female,Unknown,Survived,Queenstown,Budget
361,3rd Class,Male,Middle Aged,Died,Southampton,Standard
362,2nd Class,Male,Adult,Died,Cherbourg,Standard
363,3rd Class,Female,Middle Aged,Died,Cherbourg,Standard
364,3rd Class,Male,Adult,Died,Southampton,Budget
365,3rd Class,Male,Unknown,Died,Queenstown,Standard
366,3rd Class,Male,Adult,Died,Southampton,Budget
367,1st Class,Female,Senior,Survived,Cherbourg,Premium
368,3rd Class,Female,Unknown,Survived,Cherbourg,Budget
369,3rd Class,Female,Unknown,Survived,Queenstown,Budget
370,1st Class,Female,Young Adult,Survived,Cherbourg,Premium
371,1st Class,Male,Adult,Survived,Cherbourg,Premium
372,3rd Class,Male,Young Adult,Died,Southampton,Budget
373,3rd Class,Male,Young Adult,Died,Southampton,Budget
374,1st Class,Male,Young Adult,Died,Cherbourg,Luxury
375,3rd Class,Female,Child,Died,Southampton,Standard
376,1st Class,Female,Unknown,Survived,Cherbourg,Luxury
377,3rd Class,Female,Young Adult,Survived,Southampton,Budget
378,1st Class,Male,Adult,Died,Cherbourg,Luxury
379,3rd Class,Male,Young Adult,Died,Cherbourg,Budget
380,3rd Class,Male,Young Adult,Died,Southampton,Budget
381,1st Class,Female,Middle Aged,Survived,Cherbourg,Luxury
382,3rd Class,Female,Child,Survived,Cherbourg,Standard
383,3rd Class,Male,Adult,Died,Southampton,Budget
384,1st Class,Female,Adult,Survived,Southampton,Premium
385,3rd Class,Male,Unknown,Died,Southampton,Budget
386,2nd Class,Male,Young Adult,Died,Southampton,Premium
387,3rd Class,Male,Child,Died,Southampton,Premium
388,2nd Class,Female,Adult,Survived,Southampton,Standard
389,3rd Class,Male,Unknown,Died,Queenstown,Budget
390,2nd Class,Female,Young Adult,Survived,Cherbourg,Standard
391,1st Class,Male,Adult,Survived,Southampton,Luxury
392,3rd Class,Male,Young Adult,Survived,Southampton,Budget
393,3rd Class,Male,Adult,Died,Southampton,Budget
394,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
395,3rd Class,Female,Young Adult,Survived,Southampton,Standard
396,3rd Class,Male,Young Adult,Died,Southampton,Budget
397,3rd Class,Female,Adult,Died,Southampton,Budget
398,2nd Class,Male,Middle Aged,Died,Southampton,Standard
399,2nd Class,Male,Young Adult,Died,Southampton,Standard
400,2nd Class,Female,Adult,Survived,Southampton,Standard
401,3rd Class,Male,Adult,Survived,Southampton,Budget
402,3rd Class,Male,Adult,Died,Southampton,Budget
403,3rd Class,Female,Young Adult,Died,Southampton,Budget
404,3rd Class,Male,Adult,Died,Southampton,Standard
405,3rd Class,Female,Young Adult,Died,Southampton,Budget
406,2nd Class,Male,Adult,Died,Southampton,Standard
407,3rd Class,Male,Middle Aged,Died,Southampton,Budget
408,2nd Class,Male,Child,Survived,Southampton,Standard
409,3rd Class,Male,Young Adult,Died,Southampton,Budget
410,3rd Class,Female,Unknown,Died,Southampton,Standard
411,3rd Class,Male,Unknown,Died,Southampton,Budget
412,3rd Class,Male,Unknown,Died,Queenstown,Budget
413,1st Class,Female,Adult,Survived,Queenstown,Luxury
414,2nd Class,Male,Unknown,Died,Southampton,Budget
415,3rd Class,Male,Middle Aged,Survived,Southampton,Budget
416,3rd Class,Female,Unknown,Died,Southampton,Budget
417,2nd Class,Female,Adult,Survived,Southampton,Premium
418,2nd Class,Female,Young Adult,Survived,Southampton,Standard
419,2nd Class,Male,Adult,Died,Southampton,Standard
420,3rd Class,Female,Child,Died,Southampton,Standard
421,3rd Class,Male,Unknown,Died,Cherbourg,Budget
422,3rd Class,Male,Young Adult,Died,Queenstown,Budget
423,3rd Class,Male,Adult,Died,Southampton,Budget
424,3rd Class,Female,Adult,Died,Southampton,Standard
425,3rd Class,Male,Young Adult,Died,Southampton,Standard
426,3rd Class,Male,Unknown,Died,Southampton,Budget
427,2nd Class,Female,Adult,Survived,Southampton,Standard
428,2nd Class,Female,Young Adult,Survived,Southampton,Standard
429,3rd Class,Male,Unknown,Died,Queenstown,Budget
430,3rd Class,Male,Adult,Survived,Southampton,Budget
431,1st Class,Male,Adult,Survived,Southampton,Standard
432,3rd Class,Female,Unknown,Survived,Southampton,Standard
433,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
434,3rd Class,Male,Young Adult,Died,Southampton,Budget
435,1st Class,Male,Middle Aged,Died,Southampton,Premium
436,1st Class,Female,Young Adult,Survived,Southampton,Luxury
437,3rd Class,Female,Young Adult,Died,Southampton,Premium
438,2nd Class,Female,Young Adult,Survived,Southampton,Standard
439,1st Class,Male,Senior,Died,Southampton,Luxury
440,2nd Class,Male,Adult,Died,Southampton,Standard
441,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
442,3rd Class,Male,Young Adult,Died,Southampton,Budget
443,3rd Class,Male,Adult,Died,Southampton,Budget
444,2nd Class,Female,Adult,Survived,Southampton,Standard
