Passenger,Class,Sex,Age Group,Survived,Port,Fare Band
445,3rd Class,Male,Unknown,Survived,Southampton,Budget
446,1st Class,Male,Child,Survived,Southampton,Luxury
447,2nd Class,Female,Young Adult,Survived,Southampton,Standard
448,1st Class,Male,Adult,Survived,Southampton,Standard
449,3rd Class,Female,Child,Survived,Cherbourg,Standard
450,1st Class,Male,Middle Aged,Survived,Southampton,Premium
451,2nd Class,Male,Adult,Died,Southampton,Standard
452,3rd Class,Male,Unknown,Died,Southampton,Standard
453,1st Class,Male,Adult,Died,Cherbourg,Standard
454,1st Class,Male,Middle Aged,Survived,Cherbourg,Luxury
455,3rd Class,Male,Unknown,Died,Southampton,Budget
456,3rd Class,Male,Adult,Survived,Cherbourg,Budget
457,1st Class,Male,Senior,Died,Southampton,Standard
458,1st Class,Female,Unknown,Survived,Southampton,Premium
459,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
460,3rd Class,Male,Unknown,Died,Queenstown,Budget
461,1st Class,Male,Middle Aged,Survived,Southampton,Standard
462,3rd Class,Male,Adult,Died,Southampton,Budget
463,1st Class,Male,Middle Aged,Died,Southampton,Premium
464,2nd Class,Male,Middle Aged,Died,Southampton,Standard
465,3rd Class,Male,Unknown,Died,Southampton,Budget
466,3rd Class,Male,Adult,Died,Southampton,Budget
467,2nd Class,Male,Unknown,Died,Southampton,Budget
468,1st Class,Male,Middle Aged,Died,Southampton,Standard
469,3rd Class,Male,Unknown,Died,Queenstown,Budget
470,3rd Class,Female,Child,Survived,Cherbourg,Standard
471,3rd Class,Male,Unknown,Died,Southampton,Budget
472,3rd Class,Male,Adult,Died,Southampton,Budget
473,2nd Class,Female,Adult,Survived,Southampton,Standard
474,2nd Class,Female,Young Adult,Survived,Cherbourg,Standard
475,3rd Class,Female,Young Adult,Died,Southampton,Budget
476,1st Class,Male,Unknown,Died,Southampton,Premium
477,2nd Class,Male,Adult,Died,Southampton,Standard
478,3rd Class,Male,Adult,Died,Southampton,Budget
479,3rd Class,Male,Young Adult,Died,Southampton,Budget
480,3rd Class,Female,Child,Survived,Southampton,Standard
481,3rd Class,Male,Child,Died,Southampton,Premium
482,2nd Class,Male,Unknown,Died,Southampton,Budget
483,3rd Class,Male,Middle Aged,Died,Southampton,Budget
484,3rd Class,Female,Senior,Survived,Southampton,Budget
485,1st Class,Male,Adult,Survived,Cherbourg,Luxury
486,3rd Class,Female,Unknown,Died,Southampton,Standard
487,1st Class,Female,Adult,Survived,Southampton,Luxury
488,1st Class,Male,Middle Aged,Died,Cherbourg,Standard
489,3rd Class,Male,Adult,Died,Southampton,Budget
490,3rd Class,Male,Child,Survived,Southampton,Standard
491,3rd Class,Male,Unknown,Died,Southampton,Standard
492,3rd Class,Male,Young Adult,Died,Southampton,Budget
493,1st Class,Male,Middle Aged,Died,Southampton,Premium
494,1st Class,Male,Senior,Died,Cherbourg,Premium
495,3rd Class,Male,Young Adult,Died,Southampton,Budget
496,3rd Class,Male,Unknown,Died,Cherbourg,Standard
497,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
498,3rd Class,Male,Unknown,Died,Southampton,Standard
499,1st Class,Female,Adult,Died,Southampton,Luxury
500,3rd Class,Male,Young Adult,Died,Southampton,Budget
501,3rd Class,Male,Young Adult,Died,Southampton,Budget
502,3rd Class,Female,Young Adult,Died,Queenstown,Budget
503,3rd Class,Female,Unknown,Died,Queenstown,Budget
504,3rd Class,Female,Adult,Died,Southampton,Budget
505,1st Class,Female,Young Adult,Survived,Southampton,Luxury
506,1st Class,Male,Young Adult,Died,Cherbourg,Luxury
507,2nd Class,Female,Adult,Survived,Southampton,Standard
508,1st Class,Male,Unknown,Survived,Southampton,Standard
509,3rd Class,Male,Adult,Died,Southampton,Standard
510,3rd Class,Male,Adult,Survived,Southampton,Premium
511,3rd Class,Male,Adult,Survived,Queenstown,Budget
512,3rd Class,Male,Unknown,Died,Southampton,Budget
513,1st Class,Male,Adult,Survived,Southampton,Standard
514,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
515,3rd Class,Male,Young Adult,Died,Southampton,Budget
516,1st Class,Male,Middle Aged,Died,Southampton,Premium
517,2nd Class,Female,Adult,Survived,Southampton,Standard
518,3rd Class,Male,Unknown,Died,Queenstown,Standard
519,2nd Class,Female,Adult,Survived,Southampton,Standard
520,3rd Class,Male,Adult,Died,Southampton,Budget
521,1st Class,Female,Adult,Survived,Southampton,Luxury
522,3rd Class,Male,Young Adult,Died,Southampton,Budget
523,3rd Class,Male,Unknown,Died,Cherbourg,Budget
524,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
525,3rd Class,Male,Unknown,Died,Cherbourg,Budget
526,3rd Class,Male,Middle Aged,Died,Queenstown,Budget
527,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
528,1st Class,Male,Unknown,Died,Southampton,Luxury
529,3rd Class,Male,Adult,Died,Southampton,Budget
530,2nd Class,Male,Young Adult,Died,Southampton,Standard
531,2nd Class,Female,Child,Survived,Southampton,Standard
532,3rd Class,Male,Unknown,Died,Cherbourg,Budget
533,3rd Class,Male,Young Adult,Died,Cherbourg,Budget
534,3rd Class,Female,Unknown,Survived,Cherbourg,Standard
535,3rd Class,Female,Adult,Died,Southampton,Budget
536,2nd Class,Female,Child,Survived,Southampton,Standard
537,1st Class,Male,Middle Aged,Died,Southampton,Standard
538,1st Class,Female,Adult,Survived,Cherbourg,Luxury
539,3rd Class,Male,Unknown,Died,Southampton,Standard
540,1st Class,Female,Young Adult,Survived,Cherbourg,Premium
541,1st Class,Female,Adult,Survived,Southampton,Premium
542,3rd Class,Female,Child,Died,Southampton,Premium
543,3rd Class,Female,Child,Died,Southampton,Premium
544,2nd Class,Male,Adult,Survived,Southampton,Standard
545,1st Class,Male,Middle Aged,Died,Cherbourg,Luxury
546,1st Class,Male,Senior,Died,Southampton,Standard
547,2nd Class,Female,Young Adult,Survived,Southampton,Standard
548,2nd Class,Male,Unknown,Survived,Cherbourg,Standard
549,3rd Class,Male,Adult,Died,Southampton,Standard
550,2nd Class,Male,Child,Survived,Southampton,Premium
551,1st Class,Male,Young Adult,Survived,Cherbourg,Luxury
552,2nd Class,Male,Adult,Died,Southampton,Standard
553,3rd Class,Male,Unknown,Died,Queenstown,Budget
554,3rd Class,Male,Young Adult,Survived,Cherbourg,Budget
555,3rd Class,Female,Young Adult,Survived,Southampton,Budget
556,1st Class,Male,Senior,Died,Southampton,Standard
557,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
558,1st Class,Male,Unknown,Died,Cherbourg,Luxury
559,1st Class,Female,Adult,Survived,Southampton,Premium
560,3rd Class,Female,Adult,Survived,Southampton,Standard
561,3rd Class,Male,Unknown,Died,Queenstown,Budget
562,3rd Class,Male,Middle Aged,Died,Southampton,Budget
563,2nd Class,Male,Adult,Died,Southampton,Standard
564,3rd Class,Male,Unknown,Died,Southampton,Budget
565,3rd Class,Female,Unknown,Died,Southampton,Budget
566,3rd Class,Male,Young Adult,Died,Southampton,Standard
567,3rd Class,Male,Young Adult,Died,Southampton,Budget
568,3rd Class,Female,Adult,Died,Southampton,Standard
569,3rd Class,Male,Unknown,Died,Cherbourg,Budget
570,3rd Class,Male,Adult,Survived,Southampton,Budget
571,2nd Class,Male,Senior,Survived,Southampton,Standard
572,1st Class,Female,Middle Aged,Survived,Southampton,Premium
573,1st Class,Male,Adult,Survived,Southampton,Standard
574,3rd Class,Female,Unknown,Survived,Queenstown,Budget
575,3rd Class,Male,Young Adult,Died,Southampton,Budget
576,3rd Class,Male,Young Adult,Died,Southampton,Standard
577,2nd Class,Female,Adult,Survived,Southampton,Standard
578,1st Class,Female,Adult,Survived,Southampton,Premium
579,3rd Class,Female,Unknown,Died,Cherbourg,Standard
580,3rd Class,Male,Adult,Survived,Southampton,Budget
581,2nd Class,Female,Adult,Survived,Southampton,Premium
582,1st Class,Female,Adult,Survived,Cherbourg,Luxury
583,2nd Class,Male,Middle Aged,Died,Southampton,Standard
584,1st Class,Male,Adult,Died,Cherbourg,Premium
585,3rd Class,Male,Unknown,Died,Cherbourg,Budget
586,1st Class,Female,Young Adult,Survived,Southampton,Premium
587,2nd Class,Male,Middle Aged,Died,Southampton,Standard
588,1st Class,Male,Senior,Survived,Cherbourg,Premium
589,3rd Class,Male,Young Adult,Died,Southampton,Budget
590,3rd Class,Male,Unknown,Died,Southampton,Budget
591,3rd Class,Male,Adult,Died,Southampton,Budget
592,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
593,3rd Class,Male,Middle Aged,Died,Southampton,Budget
594,3rd Class,Female,Unknown,Died,Queenstown,Budget
595,2nd Class,Male,Adult,Died,Southampton,Standard
596,3rd Class,Male,Adult,Died,Southampton,Standard
597,2nd Class,Female,Unknown,Survived,Southampton,Premium
598,3rd Class,Male,Middle Aged,Died,Southampton,Budget
599,3rd Class,Male,Unknown,Died,Cherbourg,Budget
600,1st Class,Male,Middle Aged,Survived,Cherbourg,Premium
601,2nd Class,Female,Young Adult,Survived,Southampton,Standard
602,3rd Class,Male,Unknown,Died,Southampton,Budget
603,1st Class,Male,Unknown,Died,Southampton,Premium
604,3rd Class,Male,Middle Aged,Died,Southampton,Budget
605,1st Class,Male,Adult,Survived,Cherbourg,Standard
606,3rd Class,Male,Adult,Died,Southampton,Standard
607,3rd Class,Male,Adult,Died,Southampton,Budget
608,1st Class,Male,Adult,Survived,Southampton,Premium
609,2nd Class,Female,Young Adult,Survived,Cherbourg,Premium
610,1st Class,Female,Middle Aged,Survived,Southampton,Luxury
611,3rd Class,Female,Adult,Died,Southampton,Premium
612,3rd Class,Male,Unknown,Died,Southampton,Budget
613,3rd Class,Female,Unknown,Survived,Queenstown,Standard
614,3rd Class,Male,Unknown,Died,Queenstown,Budget
615,3rd Class,Male,Adult,Died,Southampton,Budget
616,2nd Class,Female,Young Adult,Survived,Southampton,Premium
617,3rd Class,Male,Adult,Died,Southampton,Standard
618,3rd Class,Female,Adult,Died,Southampton,Standard
619,2nd Class,Female,Child,Survived,Southampton,Premium
620,2nd Class,Male,Adult,Died,Southampton,Standard
621,3rd Class,Male,Adult,Died,Cherbourg,Standard
622,1st Class,Male,Middle Aged,Survived,Southampton,Premium
623,3rd Class,Male,Young Adult,Survived,Cherbourg,Standard
624,3rd Class,Male,Young Adult,Died,Southampton,Budget
625,3rd Class,Male,Young Adult,Died,Southampton,Standard
626,1st Class,Male,Senior,Died,Southampton,Premium
627,2nd Class,Male,Middle Aged,Died,Queenstown,Standard
628,1st Class,Female,Young Adult,Survived,Southampton,Premium
629,3rd Class,Male,Adult,Died,Southampton,Budget
630,3rd Class,Male,Unknown,Died,Queenstown,Budget
631,1st Class,Male,Senior,Survived,Southampton,Premium
632,3rd Class,Male,Middle Aged,Died,Southampton,Budget
633,1st Class,Male,Adult,Survived,Cherbourg,Premium
634,1st Class,Male,Unknown,Died,Southampton,Budget
635,3rd Class,Female,Child,Died,Southampton,Standard
636,2nd Class,Female,Adult,Survived,Southampton,Standard
637,3rd Class,Male,Adult,Died,Southampton,Budget
638,2nd Class,Male,Adult,Died,Southampton,Standard
639,3rd Class,Female,Middle Aged,Died,Southampton,Premium
640,3rd Class,Male,Unknown,Died,Southampton,Standard
641,3rd Class,Male,Young Adult,Died,Southampton,Budget
642,1st Class,Female,Young Adult,Survived,Cherbourg,Premium
643,3rd Class,Female,Child,Died,Southampton,Standard
644,3rd Class,Male,Unknown,Survived,Southampton,Premium
645,3rd Class,Female,Child,Survived,Cherbourg,Standard
646,1st Class,Male,Middle Aged,Survived,Cherbourg,Premium
647,3rd Class,Male,Young Adult,Died,Southampton,Budget
648,1st Class,Male,Middle Aged,Survived,Cherbourg,Premium
649,3rd Class,Male,Unknown,Died,Southampton,Budget
650,3rd Class,Female,Young Adult,Survived,Southampton,Budget
651,3rd Class,Male,Unknown,Died,Southampton,Budget
652,2nd Class,Female,Young Adult,Survived,Southampton,Standard
653,3rd Class,Male,Young Adult,Died,Southampton,Budget
654,3rd Class,Female,Unknown,Survived,Queenstown,Budget
655,3rd Class,Female,Young Adult,Died,Queenstown,Budget
656,2nd Class,Male,Young Adult,Died,Southampton,Premium
657,3rd Class,Male,Unknown,Died,Southampton,Budget
658,3rd Class,Female,Adult,Died,Queenstown,Standard
659,2nd Class,Male,Young Adult,Died,Southampton,Standard
660,1st Class,Male,Middle Aged,Died,Cherbourg,Luxury
661,1st Class,Male,Middle Aged,Survived,Southampton,Luxury
662,3rd Class,Male,Middle Aged,Died,Cherbourg,Budget
663,1st Class,Male,Middle Aged,Died,Southampton,Standard
664,3rd Class,Male,Adult,Died,Southampton,Budget
665,3rd Class,Male,Young Adult,Survived,Southampton,Budget
666,2nd Class,Male,Adult,Died,Southampton,Premium
667,2nd Class,Male,Adult,Died,Southampton,Standard
668,3rd Class,Male,Unknown,Died,Southampton,Budget
669,3rd Class,Male,Middle Aged,Died,Southampton,Budget
670,1st Class,Female,Unknown,Survived,Southampton,Premium
671,2nd Class,Female,Middle Aged,Survived,Southampton,Premium
672,1st Class,Male,Adult,Died,Southampton,Premium
673,2nd Class,Male,Senior,Died,Southampton,Standard
674,2nd Class,Male,Adult,Survived,Southampton,Standard
675,2nd Class,Male,Unknown,Died,Southampton,Budget
676,3rd Class,Male,Young Adult,Died,Southampton,Budget
677,3rd Class,Male,Young Adult,Died,Southampton,Budget
678,3rd Class,Female,Young Adult,Survived,Southampton,Budget
679,3rd Class,Female,Middle Aged,Died,Southampton,Premium
680,1st Class,Male,Adult,Survived,Cherbourg,Luxury
681,3rd Class,Female,Unknown,Died,Queenstown,Budget
682,1st Class,Male,Adult,Survived,Cherbourg,Premium
683,3rd Class,Male,Young Adult,Died,Southampton,Budget
684,3rd Class,Male,Young Adult,Died,Southampton,Premium
685,2nd Class,Male,Senior,Died,Southampton,Premium
686,2nd Class,Male,Adult,Died,Cherbourg,Premium
687,3rd Class,Male,Young Adult,Died,Southampton,Premium
688,3rd Class,Male,Young Adult,Died,Southampton,Standard
689,3rd Class,Male,Young Adult,Died,Southampton,Budget
690,1st Class,Female,Young Adult,Survived,Southampton,Luxury
691,1st Class,Male,Adult,Survived,Southampton,Premium
692,3rd Class,Female,Child,Survived,Cherbourg,Standard
693,3rd Class,Male,Unknown,Survived,Southampton,Premium
694,3rd Class,Male,Adult,Died,Cherbourg,Budget
695,1st Class,Male,Senior,Died,Southampton,Standard
696,2nd Class,Male,Middle Aged,Died,Southampton,Standard
697,3rd Class,Male,Middle Aged,Died,Southampton,Budget
698,3rd Class,Female,Unknown,Survived,Queenstown,Budget
699,1st Class,Male,Middle Aged,Died,Cherbourg,Luxury
700,3rd Class,Male,Middle Aged,Died,Southampton,Budget
701,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
702,1st Class,Male,Adult,Survived,Southampton,Standard
703,3rd Class,Female,Young Adult,Died,Cherbourg,Standard
704,3rd Class,Male,Adult,Died,Queenstown,Budget
705,3rd Class,Male,Adult,Died,Southampton,Budget
706,2nd Class,Male,Adult,Died,Southampton,Standard
707,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
708,1st Class,Male,Middle Aged,Survived,Southampton,Standard
709,1st Class,Female,Young Adult,Survived,Southampton,Luxury
710,3rd Class,Male,Unknown,Survived,Cherbourg,Standard
711,1st Class,Female,Young Adult,Survived,Cherbourg,Premium
712,1st Class,Male,Unknown,Died,Southampton,Standard
713,1st Class,Male,Middle Aged,Survived,Southampton,Premium
714,3rd Class,Male,Adult,Died,Southampton,Budget
715,2nd Class,Male,Middle Aged,Died,Southampton,Standard
716,3rd Class,Male,Young Adult,Died,Southampton,Budget
717,1st Class,Female,Adult,Survived,Cherbourg,Luxury
718,2nd Class,Female,Adult,Survived,Southampton,Standard
719,3rd Class,Male,Unknown,Died,Queenstown,Standard
720,3rd Class,Male,Adult,Died,Southampton,Budget
721,2nd Class,Female,Child,Survived,Southampton,Premium
722,3rd Class,Male,Young Adult,Died,Southampton,Budget
723,2nd Class,Male,Adult,Died,Southampton,Standard
724,2nd Class,Male,Middle Aged,Died,Southampton,Standard
725,1st Class,Male,Adult,Survived,Southampton,Premium
726,3rd Class,Male,Young Adult,Died,Southampton,Budget
727,2nd Class,Female,Adult,Survived,Southampton,Standard
728,3rd Class,Female,Unknown,Survived,Queenstown,Budget
729,2nd Class,Male,Adult,Died,Southampton,Standard
730,3rd Class,Female,Adult,Died,Southampton,Budget
731,1st Class,Female,Adult,Survived,Southampton,Luxury
732,3rd Class,Male,Child,Died,Cherbourg,Standard
733,2nd Class,Male,Unknown,Died,Southampton,Budget
734,2nd Class,Male,Young Adult,Died,Southampton,Standard
735,2nd Class,Male,Young Adult,Died,Southampton,Standard
736,3rd Class,Male,Adult,Died,Southampton,Standard
737,3rd Class,Female,Middle Aged,Died,Southampton,Premium
738,1st Class,Male,Adult,Survived,Cherbourg,Luxury
739,3rd Class,Male,Unknown,Died,Southampton,Budget
740,3rd Class,Male,Unknown,Died,Southampton,Budget
741,1st Class,Male,Unknown,Survived,Southampton,Premium
742,1st Class,Male,Adult,Died,Southampton,Premium
743,1st Class,Female,Young Adult,Survived,Cherbourg,Luxury
744,3rd Class,Male,Young Adult,Died,Southampton,Standard
745,3rd Class,Male,Adult,Survived,Southampton,Budget
746,1st Class,Male,Senior,Died,Southampton,Premium
747,3rd Class,Male,Young Adult,Died,Southampton,Standard
748,2nd Class,Female,Adult,Survived,Southampton,Standard
749,1st Class,Male,Young Adult,Died,Southampton,Premium
750,3rd Class,Male,Adult,Died,Queenstown,Budget
751,2nd Class,Female,Child,Survived,Southampton,Standard
752,3rd Class,Male,Child,Survived,Southampton,Standard
753,3rd Class,Male,Adult,Died,Southampton,Budget
754,3rd Class,Male,Young Adult,Died,Southampton,Budget
755,2nd Class,Female,Middle Aged,Survived,Southampton,Premium
756,2nd Class,Male,Child,Survived,Southampton,Standard
757,3rd Class,Male,Adult,Died,Southampton,Budget
758,2nd Class,Male,Young Adult,Died,Southampton,Standard
759,3rd Class,Male,Adult,Died,Southampton,Budget
760,1st Class,Female,Adult,Survived,Southampton,Luxury
761,3rd Class,Male,Unknown,Died,Southampton,Standard
762,3rd Class,Male,Middle Aged,Died,Southampton,Budget
763,3rd Class,Male,Young Adult,Survived,Cherbourg,Budget
764,1st Class,Female,Adult,Survived,Southampton,Luxury
765,3rd Class,Male,Young Adult,Died,Southampton,Budget
766,1st Class,Female,Middle Aged,Survived,Southampton,Premium
767,1st Class,Male,Unknown,Died,Cherbourg,Premium
768,3rd Class,Female,Adult,Died,Queenstown,Budget
769,3rd Class,Male,Unknown,Died,Queenstown,Standard
770,3rd Class,Male,Adult,Died,Southampton,Budget
771,3rd Class,Male,Young Adult,Died,Southampton,Budget
772,3rd Class,Male,Middle Aged,Died,Southampton,Budget
773,2nd Class,Female,Middle Aged,Died,Southampton,Standard
774,3rd Class,Male,Unknown,Died,Cherbourg,Budget
775,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
776,3rd Class,Male,Young Adult,Died,Southampton,Budget
777,3rd Class,Male,Unknown,Died,Queenstown,Budget
778,3rd Class,Female,Child,Survived,Southampton,Standard
779,3rd Class,Male,Unknown,Died,Queenstown,Budget
780,1st Class,Female,Middle Aged,Survived,Southampton,Luxury
781,3rd Class,Female,Young Adult,Survived,Cherbourg,Budget
782,1st Class,Female,Young Adult,Survived,Southampton,Premium
783,1st Class,Male,Adult,Died,Southampton,Premium
784,3rd Class,Male,Unknown,Died,Southampton,Standard
785,3rd Class,Male,Adult,Died,Southampton,Budget
786,3rd Class,Male,Adult,Died,Southampton,Budget
787,3rd Class,Female,Young Adult,Survived,Southampton,Budget
788,3rd Class,Male,Child,Died,Queenstown,Standard
789,3rd Class,Male,Child,Survived,Southampton,Standard
790,1st Class,Male,Middle Aged,Died,Cherbourg,Premium
791,3rd Class,Male,Unknown,Died,Queenstown,Budget
792,2nd Class,Male,Young Adult,Died,Southampton,Standard
793,3rd Class,Female,Unknown,Died,Southampton,Premium
794,1st Class,Male,Unknown,Died,Cherbourg,Premium
795,3rd Class,Male,Adult,Died,Southampton,Budget
796,2nd Class,Male,Adult,Died,Southampton,Standard
797,1st Class,Female,Middle Aged,Survived,Southampton,Standard
798,3rd Class,Female,Adult,Survived,Southampton,Budget
799,3rd Class,Male,Adult,Died,Cherbourg,Budget
800,3rd Class,Female,Adult,Died,Southampton,Standard
801,2nd Class,Male,Adult,Died,Southampton,Standard
802,2nd Class,Female,Adult,Survived,Southampton,Standard
803,1st Class,Male,Child,Survived,Southampton,Luxury
804,3rd Class,Male,Child,Survived,Cherbourg,Budget
805,3rd Class,Male,Adult,Survived,Southampton,Budget
806,3rd Class,Male,Adult,Died,Southampton,Budget
807,1st Class,Male,Adult,Died,Southampton,Budget
808,3rd Class,Female,Young Adult,Died,Southampton,Budget
809,2nd Class,Male,Adult,Died,Southampton,Standard
810,1st Class,Female,Adult,Survived,Southampton,Premium
811,3rd Class,Male,Adult,Died,Southampton,Budget
812,3rd Class,Male,Adult,Died,Southampton,Standard
813,2nd Class,Male,Adult,Died,Southampton,Standard
814,3rd Class,Female,Child,Died,Southampton,Premium
815,3rd Class,Male,Adult,Died,Southampton,Budget
816,1st Class,Male,Unknown,Died,Southampton,Budget
817,3rd Class,Female,Young Adult,Died,Southampton,Budget
818,2nd Class,Male,Adult,Died,Cherbourg,Premium
819,3rd Class,Male,Middle Aged,Died,Southampton,Budget
820,3rd Class,Male,Child,Died,Southampton,Standard
821,1st Class,Female,Middle Aged,Survived,Southampton,Luxury
822,3rd Class,Male,Adult,Survived,Southampton,Budget
823,1st Class,Male,Adult,Died,Southampton,Budget
824,3rd Class,Female,Adult,Survived,Southampton,Standard
825,3rd Class,Male,Child,Died,Southampton,Premium
826,3rd Class,Male,Unknown,Died,Queenstown,Budget
827,3rd Class,Male,Unknown,Died,Southampton,Premium
828,2nd Class,Male,Child,Survived,Cherbourg,Premium
829,3rd Class,Male,Unknown,Survived,Queenstown,Budget
830,1st Class,Female,Senior,Survived,Unknown,Luxury
831,3rd Class,Female,Young Adult,Survived,Cherbourg,Standard
832,2nd Class,Male,Child,Survived,Southampton,Standard
833,3rd Class,Male,Unknown,Died,Cherbourg,Budget
834,3rd Class,Male,Young Adult,Died,Southampton,Budget
835,3rd Class,Male,Young Adult,Died,Southampton,Budget
836,1st Class,Female,Adult,Survived,Cherbourg,Luxury
837,3rd Class,Male,Young Adult,Died,Southampton,Budget
838,3rd Class,Male,Unknown,Died,Southampton,Budget
839,3rd Class,Male,Adult,Survived,Southampton,Premium
840,1st Class,Male,Unknown,Survived,Cherbourg,Standard
841,3rd Class,Male,Young Adult,Died,Southampton,Budget
842,2nd Class,Male,Young Adult,Died,Southampton,Standard
843,1st Class,Female,Adult,Survived,Cherbourg,Premium
844,3rd Class,Male,Adult,Died,Cherbourg,Budget
845,3rd Class,Male,Young Adult,Died,Southampton,Budget
846,3rd Class,Male,Middle Aged,Died,Southampton,Budget
847,3rd Class,Male,Unknown,Died,Southampton,Premium
848,3rd Class,Male,Adult,Died,Cherbourg,Budget
849,2nd Class,Male,Adult,Died,Southampton,Premium
850,1st Class,Female,Unknown,Survived,Cherbourg,Luxury
851,3rd Class,Male,Child,Died,Southampton,Premium
852,3rd Class,Male,Senior,Died,Southampton,Budget
853,3rd Class,Female,Child,Died,Cherbourg,Standard
854,1st Class,Female,Young Adult,Survived,Southampton,Premium
855,2nd Class,Female,Middle Aged,Died,Southampton,Standard
856,3rd Class,Female,Young Adult,Survived,Southampton,Budget
857,1st Class,Female,Middle Aged,Survived,Southampton,Luxury
858,1st Class,Male,Middle Aged,Survived,Southampton,Standard
859,3rd Class,Female,Young Adult,Survived,Cherbourg,Standard
860,3rd Class,Male,Unknown,Died,Cherbourg,Budget
861,3rd Class,Male,Middle Aged,Died,Southampton,Standard
862,2nd Class,Male,Young Adult,Died,Southampton,Standard
863,1st Class,Female,Middle Aged,Survived,Southampton,Standard
864,3rd Class,Female,Unknown,Died,Southampton,Premium
865,2nd Class,Male,Young Adult,Died,Southampton,Standard
866,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
867,2nd Class,Female,Adult,Survived,Cherbourg,Standard
868,1st Class,Male,Adult,Died,Southampton,Premium
869,3rd Class,Male,Unknown,Died,Southampton,Budget
870,3rd Class,Male,Child,Survived,Southampton,Standard
871,3rd Class,Male,Adult,Died,Southampton,Budget
872,1st Class,Female,Middle Aged,Survived,Southampton,Premium
873,1st Class,Male,Adult,Died,Southampton,Budget
874,3rd Class,Male,Middle Aged,Died,Southampton,Budget
875,2nd Class,Female,Adult,Survived,Cherbourg,Standard
876,3rd Class,Female,Young Adult,Survived,Cherbourg,Budget
877,3rd Class,Male,Young Adult,Died,Southampton,Budget
878,3rd Class,Male,Young Adult,Died,Southampton,Budget
879,3rd Class,Male,Unknown,Died,Southampton,Budget
880,1st Class,Female,Middle Aged,Survived,Cherbourg,Luxury
881,2nd Class,Female,Adult,Survived,Southampton,Standard
882,3rd Class,Male,Adult,Died,Southampton,Budget
883,3rd Class,Female,Young Adult,Died,Southampton,Standard
884,2nd Class,Male,Adult,Died,Southampton,Standard
885,3rd Class,Male,Adult,Died,Southampton,Budget
886,3rd Class,Female,Adult,Died,Queenstown,Standard
887,2nd Class,Male,Adult,Died,Southampton,Standard
888,1st Class,Female,Young Adult,Survived,Southampton,Premium
889,3rd Class,Female,Unknown,Died,Southampton,Standard
890,1st Class,Male,Adult,Survived,Cherbourg,Premium
891,3rd Class,Male,Adult,Died,Queenstown,Budget
